"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2017","14.3","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2018","34.5","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2019","46.7","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2020","22.6","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2021","28.1","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2022","37.5","M","A","2023-10-08","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2017","3.6","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2018","4.4","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2019","5.1","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2020","3.2","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2021","3.8","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2022","5.3","M","A","2023-10-08","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2017","1.9","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2018","1.9","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2019","0.7","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2020","1.8","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2021","1.9","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2022","1.8","M","A","2023-10-08","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2017","32.8","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2018","33.7","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2019","32","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2020","34","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2021","35.8","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2022","37.5","M","A","2023-10-08","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2017","45.5","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2018","40.2","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2019","38.3","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2020","46.3","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2021","46.1","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2022","51","M","A","2023-10-08","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2017","43.8","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2018","17.4","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2019","30.6","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2020","16.9","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2021","34.1","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2022","30.1","M","A","2023-10-08","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2017","60","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2018","58.4","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2019","56.1","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2020","57.8","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2021","57.4","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2022","56.8","M","A","2023-10-08","-","-"
