Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent
Singapore,Beach litter count per km2 of coastline,2018,5545934.9,E,A,2022-05-19,-,-,Asia
Singapore,Beach litter count per km2 of coastline,2021,329370.9,E,A,2024-04-30,-,-,Asia
Singapore,Beach litter count per km2 of coastline,2022,261485.5,E,A,2024-04-30,-,-,Asia
Slovenia,Beach litter count per km2 of coastline,2016,1833145.7,E,A,2022-05-19,-,-,Europe
Slovenia,Beach litter count per km2 of coastline,2017,1491842.2,E,A,2022-05-19,-,-,Europe
Slovenia,Beach litter count per km2 of coastline,2018,3883.5,E,A,2022-05-19,-,-,Europe
Slovenia,Beach litter count per km2 of coastline,2021,336787.4,E,A,2024-04-30,-,-,Europe
Solomon Islands,Beach litter count per km2 of coastline,2022,180026.0,E,A,2024-04-30,-,-,Oceania
Somalia,Beach litter count per km2 of coastline,2022,30308.1,E,A,2024-04-30,-,-,Africa
South Africa,Beach litter count per km2 of coastline,2015,1059365.4,E,A,2022-05-19,-,-,Africa
South Africa,Beach litter count per km2 of coastline,2016,644018.6,E,A,2022-05-19,-,-,Africa
South Africa,Beach litter count per km2 of coastline,2017,243075.7,E,A,2022-05-19,-,-,Africa
South Africa,Beach litter count per km2 of coastline,2018,595449.7,E,A,2022-05-19,-,-,Africa
South Africa,Beach litter count per km2 of coastline,2019,303.7,E,A,2022-05-19,-,-,Africa
South Africa,Beach litter count per km2 of coastline,2021,124090.2,E,A,2024-04-30,-,-,Africa
South Africa,Beach litter count per km2 of coastline,2022,122938.4,E,A,2024-04-30,-,-,Africa
Spain,Beach litter count per km2 of coastline,2015,1531320.5,E,A,2022-05-19,-,-,Europe
Spain,Beach litter count per km2 of coastline,2016,4088205.9,E,A,2022-05-19,-,-,Europe
Spain,Beach litter count per km2 of coastline,2017,2193543.0,E,A,2022-05-19,-,-,Europe
Spain,Beach litter count per km2 of coastline,2018,1436452.3,E,A,2022-05-19,-,-,Europe
Spain,Beach litter count per km2 of coastline,2019,1257716.5,E,A,2022-05-19,-,-,Europe
Spain,Beach litter count per km2 of coastline,2021,467568.2,E,A,2024-04-30,-,-,Europe
Spain,Beach litter count per km2 of coastline,2022,197954.5,E,A,2024-04-30,-,-,Europe
Sri Lanka,Beach litter count per km2 of coastline,2016,3303721.5,E,A,2022-05-19,-,-,Asia
Sri Lanka,Beach litter count per km2 of coastline,2017,3502183.9,E,A,2022-05-19,-,-,Asia
Sri Lanka,Beach litter count per km2 of coastline,2018,1673197.9,E,A,2022-05-19,-,-,Asia
Sri Lanka,Beach litter count per km2 of coastline,2021,123104.0,E,A,2024-04-30,-,-,Asia
Sri Lanka,Beach litter count per km2 of coastline,2022,266145.3,E,A,2024-04-30,-,-,Asia
Suriname,Beach litter count per km2 of coastline,2017,580801.2,E,A,2022-05-19,-,-,South America
Suriname,Beach litter count per km2 of coastline,2018,659674.2,E,A,2022-05-19,-,-,South America
Sweden,Beach litter count per km2 of coastline,2015,7623.6,E,A,2022-05-19,-,-,Europe
Sweden,Beach litter count per km2 of coastline,2016,22391.1,E,A,2022-05-19,-,-,Europe
Sweden,Beach litter count per km2 of coastline,2017,17226.3,E,A,2022-05-19,-,-,Europe
Sweden,Beach litter count per km2 of coastline,2018,6489.1,E,A,2022-05-19,-,-,Europe
Sweden,Beach litter count per km2 of coastline,2021,515545.3,E,A,2024-04-30,-,-,Europe
Sweden,Beach litter count per km2 of coastline,2022,201842.3,E,A,2024-04-30,-,-,Europe
Switzerland,Beach litter count per km2 of coastline,2021,54744.0,C,A,2024-08-30,-,-,Europe
Thailand,Beach litter count per km2 of coastline,2016,447945.7,E,A,2022-05-19,-,-,Asia
Thailand,Beach litter count per km2 of coastline,2017,519666.5,E,A,2022-05-19,-,-,Asia
Thailand,Beach litter count per km2 of coastline,2018,804726.8,E,A,2022-05-19,-,-,Asia
Thailand,Beach litter count per km2 of coastline,2021,257803.4,E,A,2024-04-30,-,-,Asia
Thailand,Beach litter count per km2 of coastline,2022,287028.2,E,A,2024-04-30,-,-,Asia
