"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2018","10","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2019","14","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2020","7","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2021","9","M","A","2022-02-02","-","-"
"Belgium","Beach litter originating from national land-based sources ends in the Ocean","2022","12","M","A","2023-10-08","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2017","538","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2018","692","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2019","827","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2020","530","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2021","653","M","A","2022-02-02","-","-"
"Belize","Beach litter originating from national land-based sources ends in the Ocean","2022","925","M","A","2023-10-08","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2017","579","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2018","596","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2019","244","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2020","610","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2021","659","M","A","2022-02-02","-","-"
"Benin","Beach litter originating from national land-based sources ends in the Ocean","2022","622","M","A","2023-10-08","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2017","284851","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2018","305729","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2019","300873","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2020","328453","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2021","353959","M","A","2022-02-02","-","-"
"Brazil","Beach litter originating from national land-based sources ends in the Ocean","2022","377833","M","A","2023-10-08","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2017","543","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2018","502","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2019","495","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2020","615","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2021","627","M","A","2022-02-02","-","-"
"Brunei Darussalam","Beach litter originating from national land-based sources ends in the Ocean","2022","706","M","A","2023-10-08","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2017","70","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2018","29","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2019","53","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2020","30","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2021","62","M","A","2022-02-02","-","-"
"Bulgaria","Beach litter originating from national land-based sources ends in the Ocean","2022","56","M","A","2023-10-08","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2017","1230","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2018","1253","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2019","1248","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2020","1321","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2021","1341","M","A","2022-02-02","-","-"
"Cabo Verde","Beach litter originating from national land-based sources ends in the Ocean","2022","1352","M","A","2023-10-08","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2017","916","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2018","770","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2019","812","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2020","767","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2021","940","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2022","1130","M","A","2023-10-08","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2017","252","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2018","289","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2019","193","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2020","258","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2021","616","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2022","1593","M","A","2023-10-08","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2017","222","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2018","186","M","A","2022-02-02","-","-"
